price,pType,pWidth,pLength,pArea,pLandArea,pNumberOfFloors,pNumberOfBathrooms,pNumberOfBedrooms,pCertificateType,pFurnitureStatus,log_price,district
3500000000.0,other,4.2,10.89,80.7,56.3,2.0,2.0,2.0,certificate,other,21.97602880544178,Quận 12
9500000000.0,alley_house,4.0,19.8,186.0,79.2,4.0,3.0,4.0,certificate,other,22.974557635552905,Quận Gò Vấp
24000000000.0,other,5.83,19.22,168.4,252.4,1.0,2.0,3.0,certificate,other,23.901319667294356,Quận Gò Vấp
25500000000.0,other,4.0,19.34,277.3,78.9,4.0,6.0,5.0,certificate,other,23.961944289110793,Quận 10
3500000000.0,alley_house,5.0,17.15,130.1,85.5,2.0,2.0,3.0,certificate,other,21.97602880544178,Quận Hóc Môn
3950000000.0,other,4.5,4.75,57.9,20.2,3.0,2.0,2.0,certificate,other,22.096981415859442,Quận Tân Bình
8600000000.0,other,4.02,21.54,52.2,85.4,1.0,1.0,1.0,certificate,other,22.875028040205873,Quận Bình Tân
6350000000.0,other,3.9,14.95,58.3,58.3,1.0,1.0,1.0,certificate,other,22.571720649851013,Quận Tân Phú
13500000000.0,other,3.3,18.7,307.9,57.8,6.0,4.0,5.0,certificate,other,23.325955522390796,Quận Tân Bình
5500000000.0,other,4.48,15.74,53.9,53.9,1.0,1.0,1.0,certificate,other,22.428013929184836,Quận Bình Tân
3450000000.0,other,3.8,14.4,74.3,55.0,2.0,2.0,3.0,certificate,other,21.96164006798968,Quận 12
5380000000.0,other,2.5,13.7,57.75,37.0,2.0,3.0,3.0,certificate,other,22.405954211120104,Quận Bình Thạnh
5250000000.0,other,3.2,7.7,73.1,25.0,3.0,3.0,2.0,certificate,other,22.381493913549942,Quận Gò Vấp
6990000000.0,other,3.9,6.35,69.1,24.8,3.0,2.0,2.0,certificate,other,22.66774639319213,Quận Phú Nhuận
5200000000.0,other,4.0,12.0,144.0,48.0,3.0,2.0,2.0,certificate,other,22.371924462533794,Quận Bình Tân
5200000000.0,other,3.45,12.91,74.7,44.3,3.0,2.0,2.0,certificate,other,22.371924462533794,Quận 12
13900000000.0,other,3.4,17.7,168.7,60.2,4.0,4.0,5.0,certificate,other,23.355154677083057,Quận Tân Bình
6500000000.0,alley_house,6.0,28.37,117.1,150.7,1.0,1.0,1.0,certificate,other,22.595068013848003,Quận Hóc Môn
10350000000.0,other,4.7,6.4,109.98,30.08,4.0,3.0,3.0,certificate,other,23.060252356657788,Quận Tân Bình
11500000000.0,other,4.0,18.5,127.98,74.19,2.0,1.0,1.0,certificate,other,23.165612872315616,Quận Tân Bình
4750000000.0,other,4.25,11.7,135.87,47.23,3.0,3.0,3.0,certificate,other,22.28141045499296,Quận Tân Phú
20000000000.0,other,4.0,16.4,85.0,38.5,4.0,2.0,2.0,certificate,other,23.7189981105004,Quận Bình Tân
5900000000.0,other,2.87,6.4,78.5,24.0,5.0,4.0,3.0,certificate,other,22.498218187858086,Quận 3
4050000000.0,land,4.8,10.59,50.2,50.2,1.0,1.0,1.0,certificate,other,22.12198271806486,Quận Bình Tân
10000000000.0,other,7.0,13.51,69.9,94.7,2.0,2.0,1.0,certificate,other,23.025850929940457,Quận 12
4300000000.0,apartment,4.05,15.679012345679013,63.5,63.5,1.0,2.0,2.0,certificate,other,22.18188085964593,Quận Bình Tân
7400000000.0,other,3.97,14.13,168.0,56.1,3.0,4.0,4.0,certificate,other,22.724745837156537,Quận Bình Tân
17500000000.0,other,4.0,20.0,291.2,80.0,3.0,4.0,3.0,certificate,other,23.585466717875878,Quận Tân Phú
9000000000.0,shophouse,3.5,10.93,49.0,37.3,2.0,2.0,2.0,certificate,other,22.920490414282632,Quận 6
27000000000.0,other,3.68,26.58,194.4,97.3,4.0,5.0,6.0,certificate,other,24.01910270295074,Quận 6
15000000000.0,other,5.03,19.22,352.5,110.9,4.0,11.0,11.0,certificate,other,23.43131603804862,Quận Tân Phú
5700000000.0,other,3.0,11.85,106.6,35.23,4.0,7.0,7.0,certificate,other,22.463732011786917,Quận Tân Bình
3650000000.0,other,4.0,5.3,41.8,20.9,2.0,2.0,1.0,certificate,other,22.017993004540813,Quận Tân Phú
4800000000.0,other,7.0,4.2,52.4,29.4,2.0,2.0,2.0,certificate,other,22.291881754860256,Quận Tân Bình
2600000000.0,other,4.43,4.03,36.28,18.14,2.0,1.0,1.0,certificate,other,21.678777281973847,Quận Tân Phú
6400000000.0,other,3.43,11.26,113.1,43.7,4.0,3.0,3.0,certificate,other,22.579563827312036,Quận Tân Bình
12500000000.0,other,3.63,15.09,55.4,55.4,3.0,3.0,3.0,certificate,other,23.248994481254666,Quận 3
